dt,AverageTemperature,AverageTemperatureUncertainty,Country
1787-01-01,13.322,2.975,Algeria
1787-02-01,14.839,2.307,Algeria
1787-03-01,18.841,2.922,Algeria
1787-04-01,22.061,2.283,Algeria
1787-05-01,27.104,3.774,Algeria
1787-06-01,32.289,3.087,Algeria
1787-07-01,32.692,4.224,Algeria
1787-08-01,33.049,3.668,Algeria
1787-09-01,,,Algeria
1787-10-01,,,Algeria
1787-11-01,,,Algeria
1787-12-01,,,Algeria
1788-01-01,,,Algeria
1788-02-01,,,Algeria
1788-03-01,,,Algeria
1788-04-01,,,Algeria
1788-05-01,,,Algeria
1788-06-01,,,Algeria
1788-07-01,,,Algeria
1788-08-01,,,Algeria
1788-09-01,,,Algeria
1788-10-01,,,Algeria
1788-11-01,,,Algeria
1788-12-01,10.343,3.445,Algeria
1789-01-01,,,Algeria
1789-02-01,13.978,3.185,Algeria
1789-03-01,17.074,3.725,Algeria
1789-04-01,21.967,2.338,Algeria
1789-05-01,27.908,2.984,Algeria
1789-06-01,31.056,1.843,Algeria
1789-07-01,33.83,1.943,Algeria
1789-08-01,32.711,1.732,Algeria
1789-09-01,29.39,1.89,Algeria
1789-10-01,22.407,2.748,Algeria
1789-11-01,16.476,1.832,Algeria
1789-12-01,11.922,2.078,Algeria
1790-01-01,11.94,3.577,Algeria
1790-02-01,14.646,3.835,Algeria
1790-03-01,18.346,1.998,Algeria
1790-04-01,20.736,2.344,Algeria
1790-05-01,26.598,1.821,Algeria
1790-06-01,32.173,2.252,Algeria
1790-07-01,33.273,2.104,Algeria
1790-08-01,33.287,1.892,Algeria
1790-09-01,29.449,2.236,Algeria
1790-10-01,24.293,2.271,Algeria
1790-11-01,17.471,1.778,Algeria
1790-12-01,12.776,6.577,Algeria
1791-01-01,13.234,5.401,Algeria
1791-02-01,14.78,1.778,Algeria
1791-03-01,19.082,2.954,Algeria
1791-04-01,23.041,2.279,Algeria
1791-05-01,26.394,2.121,Algeria
1791-06-01,30.836,1.922,Algeria
1791-07-01,33.109,1.84,Algeria
1791-08-01,33.3,1.511,Algeria
1791-09-01,29.286,1.878,Algeria
